Candidate Name,Electoral District,LastName,Riding Number,Party,RidingLastName
Joe Dickson,Ajax--Pickering,Dickson,1,Ontario Liberal Party,1Dickson
Jermaine King,Ajax--Pickering,King,1,New Democratic Party of Ontario,1King
Todd McCarthy,Ajax--Pickering,McCarthy,1,Progressive Conservative Party of Ontario,1McCarthy
Adam Narraway,Ajax--Pickering,Narraway,1,Green Party of Ontario,1Narraway
Kyle Stewart,Ajax--Pickering,Stewart,1,Ontario Libertarian Party,1Stewart
Richard Hadidian,Algoma--Manitoulin,Hadidian,2,Ontario Libertarian Party,2Hadidian
Craig Hughson,Algoma--Manitoulin,Hughson,2,Ontario Liberal Party,2Hughson
Michael Mantha,Algoma--Manitoulin,Mantha,2,New Democratic Party of Ontario,2Mantha
Byron (Jib) Turner,Algoma--Manitoulin,Turner,2,Progressive Conservative Party of Ontario,2Turner
Alexandra Zalucky,Algoma--Manitoulin,Zalucky,2,Green Party of Ontario,2Zalucky
Raymond Dartsch,Ancaster--Dundas--Flamborough--Westdale,Dartsch,3,Green Party of Ontario,3Dartsch
Alex Johnstone,Ancaster--Dundas--Flamborough--Westdale,Johnstone,3,New Democratic Party of Ontario,3Johnstone
Glenn Langton,Ancaster--Dundas--Flamborough--Westdale,Langton,3,Ontario Libertarian Party,3Langton
Ted McMeekin,Ancaster--Dundas--Flamborough--Westdale,McMeekin,3,Ontario Liberal Party,3McMeekin
Donna Skelly,Ancaster--Dundas--Flamborough--Westdale,Skelly,3,Progressive Conservative Party of Ontario,3Skelly
Barry Spruce,Ancaster--Dundas--Flamborough--Westdale,Spruce,3,Freedom Party of Ontario,3Spruce
David Bradbury,Barrie,Bradbury,4,New Democratic Party of Ontario,4Bradbury
Ann Hoggarth,Barrie,Hoggarth,4,Ontario Liberal Party,4Hoggarth
Rod Jackson,Barrie,Jackson,4,Progressive Conservative Party of Ontario,4Jackson
Bonnie North,Barrie,North,4,Green Party of Ontario,4North
Darren Roskam,Barrie,Roskam,4,Ontario Libertarian Party,4Roskam
Nicolas Johnson,Beaches--East York,Johnson,5,Progressive Conservative Party of Ontario,5Johnson
Alexander Lindsay,Beaches--East York,Lindsay,5,Ontario Libertarian Party,5Lindsay
Naomi Poley-Fisher,Beaches--East York,Poley-Fisher,5,Freedom Party of Ontario,5Poley-Fisher
Arthur Potts,Beaches--East York,Potts,5,Ontario Liberal Party,5Potts
Michael Prue,Beaches--East York,Prue,5,New Democratic Party of Ontario,5Prue
Debra Scott,Beaches--East York,Scott,5,Green Party of Ontario,5Scott
Harjit Jaswal,Bramalea--Gore--Malton,Jaswal,6,Progressive Conservative Party of Ontario,6Jaswal
Kuldip Kular,Bramalea--Gore--Malton,Kular,6,Ontario Liberal Party,6Kular
Jagmeet Singh,Bramalea--Gore--Malton,Singh,6,New Democratic Party of Ontario,6Singh
Pauline Thornham,Bramalea--Gore--Malton,Thornham,6,Green Party of Ontario,6Thornham
Luis Chacin,Brampton West,Chacin,8,Ontario Libertarian Party,8Chacin
Vic Dhillon,Brampton West,Dhillon,8,Ontario Liberal Party,8Dhillon
Sayyeda Ebrahim,Brampton West,Ebrahim,8,Green Party of Ontario,8Ebrahim
Ted Harlson,Brampton West,Harlson,8,Freedom Party of Ontario,8Harlson
Gugnigill Panaich,Brampton West,Panaich,8,New Democratic Party of Ontario,8Panaich
